Movie,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate Followers
13 Sins,2014,6.3,8,9130,4000000,45,1,0,3280543,4632,425,636,1120000
22 Jump Street,2014,7.1,1,192000000,50000000,3306,2,2,583289,3465,61,186,12350000
3 Days to Kill,2014,6.2,1,30700000,28000000,2872,1,0,304861,328,34,47,483000
300: Rise of an Empire,2014,6.3,1,106000000,110000000,3470,2,0,452917,2429,132,590,568000
A Haunted House 2,2014,4.7,8,17300000,3500000,2310,2,0,3145573,12163,610,1082,1923800
A Long Way Off,2014,4.6,3,29000,500000,,1,0,91137,112,7,1,310000
A Million Ways to Die in the West,2014,6.1,8,42600000,40000000,3158,1,0,3013011,9595,419,1020,8153000
A Most Violent Year,2014,7.1,1,5750000,20000000,818,1,2,1854103,2207,197,593,130655
A Walk Among the Tombstones,2014,6.5,10,26000000,28000000,2714,1,3,2213659,2210,419,382,125646
About Last Night,2014,6.1,8,48600000,12500000,2253,1,0,5218079,11709,532,770,21697300
American Sniper,2014,7.3,1,350000000,58800000,3555,1,4,3927600,13143,573,3134,24300
And So It Goes,2014,5.7,8,15200000,30000000,1762,1,0,519327,963,94,70,386400
Annabelle,2014,5.4,15,84300000,6500000,3185,1,0,19032902,38810,4382,4392,19420105
Annie,2014,5.2,8,85900000,65000000,3116,1,0,930006,5150,707,1484,5130800
Atlas Shrugged: Who Is John Galt?,2014,4.4,3,830000,5000000,65,3,0,595194,85,36,39,15112
Barefoot,2014,6.6,8,11800,6000000,18,1,2,3915978,6983,247,460,253000
Better Living Through Chemistry,2014,6.3,8,72300,5000000,25,1,0,1391527,2479,146,182,1658900
Beyond the Lights,2014,6.9,3,14600000,7000000,31,1,0,1828235,7633,235,685,116100
Big Hero 6,2014,7.9,12,222000000,165000000,3761,1,29,4700023,14163,538,1293,199800
Black or White,2014,6.6,3,21600000,9000000,1823,1,-1,1348142,4404,307,1033,888000
Blended,2014,6.5,8,46300000,40000000,3555,1,-2,7977747,18690,1940,2214,2417000
Boyhood,2014,8,3,25400000,4000000,771,1,9,1671367,4572,207,741,105000
Brick Mansions,2014,5.7,1,20300000,28000000,2647,1,0,2088644,6633,255,1235,3209000
Cake,2014,6.5,3,1870000,7000000,482,1,2,4398243,9202,454,1150,4769100
Camp X-Ray,2014,7,3,9840,1000000,,1,3,7128,1,0,0,2182
Cantinflas,2014,6.7,9,6370000,3000000,382,1,3,2902492,9522,558,2296,
Captain America: The Winter Soldier,2014,7.8,1,260000000,170000000,3938,2,5,760262,2918,66,837,8030000
Dawn of the Planet of the Apes,2014,7.7,1,209000000,170000000,3967,2,-4,1735700,6772,187,889,114000
Deliver Us from Evil,2014,6.2,10,30500000,30000000,97,1,0,465219,1348,72,162,744600
Devil's Due,2014,4,15,15800000,7000000,2544,1,0,1844690,3728,581,729,9536
Divergent,2014,6.8,2,151000000,85000000,3936,1,-4,463866,3400,152,987,1030000
Dolphin Tale 2,2014,6.4,3,42000000,36000000,3376,2,-1,384448,1230,129,228,276750
Dracula Untold,2014,6.3,1,55900000,70000000,,1,0,9149892,26427,1342,5278,395500
Draft Day,2014,6.8,3,28800000,27000000,2781,1,0,522630,1248,153,227,147000
Dumb and Dumber To,2014,5.8,8,86200000,35000000,3154,3,0,3287020,7698,446,1122,17064000
Earth to Echo,2014,5.8,2,38900000,13000000,3230,1,0,1488038,2571,553,643,88586
Edge of Tomorrow,2014,7.9,1,100000000,178000000,3490,1,0,15568277,29251,1730,6439,5610000
Endless Love,2014,6.3,3,23400000,20000000,2800,1,1,11850723,24226,1343,2577,21500
Falcon Rising,2014,5.7,1,8690,4500000,,1,0,735551,636,98,92,1060000
Foxcatcher,2014,7.1,9,1210000,24000000,66,1,6,6685088,8369,467,1580,13720000
Fury,2014,7.6,1,85700000,68000000,3313,1,3,2276605,3946,331,1286,1888000
God Help the Girl,2014,6.4,3,102000,1850000,8,1,-4,1034480,6490,181,374,66600
God's Not Dead,2014,5,3,60800000,2000000,780,1,0,456564,1706,413,890,412000
God's Pocket,2014,6.1,10,104000,1000000,3,1,0,99427,47,10,12,
Godzilla,2014,6.5,1,201000000,160000000,3952,1,2,1156609,2968,112,547,1870000
Gone Girl,2014,8.2,3,168000000,61000000,3014,1,-11,396010,1390,58,342,20640000
Guardians of the Galaxy,2014,8.1,1,333000000,170000000,4080,1,0,1313548,8567,269,1285,2750000
Happy Christmas,2014,5.6,8,30100,70000,9,1,0,924347,1406,107,132,5887700
Heaven Is for Real,2014,5.8,3,91400000,12000000,2417,1,-9,175017,461,34,133,
Hercules,2014,6.1,1,72700000,100000000,3595,1,-2,9324678,15479,1130,3925,9414000
Horrible Bosses 2,2014,6.3,8,54400000,42000000,93,2,-1,1292235,5284,124,362,1650000
How to Train Your Dragon 2,2014,7.9,12,177000000,145000000,4253,2,3,11472161,22779,862,2863,671000
If I Stay,2014,6.8,3,50500000,11000000,1272,1,14,9222933,41728,924,3609,1800000
In the Name of My Daughter,2014,6.1,3,275000,8932779.93,6,1,0,8210,6,0,0,58900
Inherent Vice,2014,6.7,8,8090000,20000000,645,1,1,1167941,2651,82,797,
Interstellar,2014,8.7,2,188000000,165000000,3561,1,2,5421705,16635,751,4316,1865000
Into the Storm,2014,5.8,1,47600000,50000000,3434,1,0,4270410,8886,569,3058,301000
Into the Woods,2014,6,2,128000000,50000000,2440,1,-4,817242,4391,112,346,4720000
It Follows,2014,6.9,15,14700000,2000000,4,1,-9,4877,6,1,1,
Jack Ryan: Shadow Recruit,2014,6.2,1,50500000,60000000,3387,5,4,3320754,4322,347,1105,147000
Jersey Boys,2014,6.9,9,47000000,40000000,2905,1,10,1438350,4028,133,543,27323
John Wick,2014,7.2,1,43000000,20000000,2589,1,0,4846645,14722,405,2732,
Kill the Messenger,2014,7,9,2450000,5000000,374,1,0,3650720,6917,234,1119,1045200
Kingsman: The Secret Service,2014,7.8,1,128000000,81000000,3204,1,0,2767873,46023,944,6946,5407000
Kung Fu Jungle,2014,6.5,1,129000,25000000,28,1,-2,289922,143,17,9,
Left Behind,2014,3.1,1,14000000,16000000,1825,1,0,5611593,11187,2111,7595,116800
Let's Be Cops,2014,6.5,8,82400000,17000000,1534,1,-5,4450824,7315,546,909,2356000
Life After Beth,2014,5.7,8,8300,2400000,,1,0,1222921,5553,193,335,1463000
Locker 13,2014,4.8,7,2470,300000,3,1,0,30529,18,4,2,18100
Lucy,2014,6.4,1,127000000,40000000,3173,1,1,1142964,2346,167,311,
Maleficent,2014,7,1,241000000,180000000,3948,1,0,557012,3528,135,464,5633
Maps to the Stars,2014,6.3,8,348000,15000000,66,1,0,177465,595,39,71,644000
Million Dollar Arm,2014,7.1,9,36400000,25000000,3019,1,27,1470438,4314,168,511,130000
Moms' Night Out,2014,5.4,8,10400000,5000000,1044,1,0,667852,469,38,44,919000
Mr. Peabody & Sherman,2014,6.9,12,112000000,145000000,3934,1,13,277848,890,45,88,8839043
Muppets Most Wanted,2014,6.5,2,51200000,50000000,3194,3,-1,3037329,6696,564,1061,9850000
My Old Lady,2014,6.3,8,4010000,5000000,255,1,0,446576,659,50,45,
Need for Speed,2014,6.6,1,43600000,66000000,3115,1,5,1451649,7342,533,2305,2594000
Neighbors,2014,6.4,8,150000000,18000000,3279,1,2,2554307,8722,298,693,14240000
Night at the Museum: Secret of the Tomb,2014,6.3,2,114000000,127000000,22,3,2,3779254,13535,362,1221,6480000
Nightcrawler,2014,7.9,10,32300000,8500000,2766,1,-1,6082510,12522,543,2170,
No Good Deed,2014,5.6,10,52500000,13200000,2130,1,0,608230,895,118,387,1550500
Noah,2014,5.9,1,101000000,125000000,3567,1,6,13661095,41254,3812,18077,1810000
Non-Stop,2014,7,1,91400000,50000000,3090,1,0,367551,700,19,37,648786
Not Cool,2014,5.2,8,35700,600000,,1,0,5403836,187162,3145,24919,2720000
Ouija,2014,4.4,15,50800000,5000000,2061,1,-4,11724815,30208,2150,4926,130000
Paddington,2014,7.2,8,76100000,55000000,3303,1,14,2028767,3829,500,665,124000
Paranormal Activity: The Marked Ones,2014,5,15,32500000,5000000,2867,1,0,105480,352,45,85,11444
Penguins of Madagascar,2014,6.8,12,83300000,132000000,32,1,8,1223790,2934,123,226,47200
Planes: Fire & Rescue,2014,5.9,12,59200000,50000000,3826,3,0,2117798,2124,485,626,3603000
Pompeii,2014,5.6,1,23200000,100000000,2658,1,0,355563,1568,106,267,370000
Ride Along,2014,6.1,1,134000000,25000000,2663,1,0,8429023,27484,977,2195,21586000
Rio 2,2014,6.4,12,132000000,103000000,3948,2,4,3849768,9783,704,1151,154400
RoboCop,2014,6.2,1,58600000,100000000,3372,1,7,3305047,11733,1077,4319,250000
Rosewater,2014,6.6,9,3090000,5000000,371,1,1,909596,2214,186,632,
Rudderless,2014,7.5,8,37400,5000000,,1,0,827239,3221,89,432,217000
Sabotage,2014,5.7,1,10500000,35000000,2486,1,17,3466458,6096,411,977,3678000
Selma,2014,7.5,9,52100000,20000000,2179,1,-5,3743181,16782,565,4973,9224
Serena,2014,5.4,3,176000,30000000,59,1,0,3726728,6221,405,1074,
Seventh Son,2014,5.5,1,17200000,95000000,2875,1,0,23360,36,5,5,804300
Sex Tape,2014,5.1,8,38500000,40000000,3062,1,0,2757667,3030,418,251,4521000
Sin City: A Dame to Kill For,2014,6.6,10,13800000,65000000,2894,2,0,5223362,18770,627,2796,8620000
Son of God,2014,5.5,9,59700000,22000000,3260,1,2,943306,3006,325,1401,3185900
Song One,2014,5.8,3,20200,6000000,27,1,0,2426078,9230,184,373,33500
St. Vincent,2014,7.3,8,44100000,13000000,18,1,20,4176181,9463,310,885,269849
Taken 3,2014,6.1,1,89300000,48000000,21,3,6,1544390,2975,136,380,216000
Tammy,2014,4.8,8,84500000,20000000,3465,1,0,3429055,7682,675,727,727000
Teenage Mutant Ninja Turtles,2014,5.9,1,191000000,125000000,3845,1,0,7908038,27312,3439,8533,1260000
That Awkward Moment,2014,6.1,8,26000000,8000000,2809,1,0,6132551,14539,653,846,11783000
The Admiral,2014,7.1,2,2590000,9500000,1586,1,3,134353,280,43,308,
The Amazing Spider-Man 2,2014,6.8,1,203000000,200000000,4324,2,6,386857,4996,233,864,4520000
The Babadook,2014,6.9,3,924000,2000000,147,1,-3,6501107,14139,890,2928,
The Best of Me,2014,6.6,3,26800000,26000000,8,1,3,5546710,15351,535,1271,48231
The Book of Life,2014,7.3,12,50200000,50000000,12,1,9,5165441,17476,871,3229,10364000
The Boxtrolls,2014,6.8,12,50800000,60000000,3464,1,5,2545852,3964,378,554,1280000
The Devil's Hand,2014,4.8,7,4240,7000000,,1,0,330363,406,52,92,
The Drop,2014,7.1,10,10700000,12600000,809,1,-1,2897407,5953,153,569,
The Equalizer,2014,7.2,1,102000000,55000000,3236,1,0,7075635,15858,574,1966,1800000
The Expendables 3,2014,6.1,1,39300000,90000000,90,3,0,14453673,33092,1336,5005,1480000
The Fault in Our Stars,2014,7.9,3,125000000,12000000,3173,1,7,32626778,370552,4752,38363,4240000
The Fluffy Movie: Unity Through Laughter,2014,7,8,2820000,,432,1,0,10747,4,1,1,818000
The Gambler,2014,6.1,10,33600000,25000000,103,1,-2,4790221,4740,454,773,2740000
The Giver,2014,6.5,3,45100000,25000000,702,1,6,523457,2187,149,565,184100
The Good Lie,2014,7.4,3,2720000,20000000,461,1,10,1303646,3306,211,564,759800
The Hobbit: The Battle of the Five Armies,2014,7.5,2,255000000,250000000,3875,6,3,3554189,14152,262,1782,2613000
The Homesman,2014,6.6,3,2430000,16000000,4,1,2,26528,58,1,8,25748
The Hundred-Foot Journey,2014,7.3,8,54200000,22000000,2023,1,11,24809,277,12,52,20700
The Hunger Games: Mockingjay - Part 1,2014,6.8,2,337000000,125000000,4151,3,2,3305417,14684,332,1176,31030000
The Identical,2014,5,3,2820000,12000000,,1,0,309610,729,97,113,275873
The Imitation Game,2014,8.1,9,91100000,14000000,747,1,9,3047849,11748,253,1237,
The Interview,2014,6.7,1,6110000,44000000,78,1,0,6231191,13331,1265,3430,6619435
The Judge,2014,7.5,10,47100000,50000000,3003,1,2,1325872,4829,104,378,5563500
The Legend of Hercules,2014,4.2,1,18800000,70000000,2104,1,0,797229,1606,630,456,1174806
The Lego Movie,2014,7.8,12,258000000,60000000,3775,1,-2,439159,1847,105,289,4690000
The Loft,2014,6.3,6,5980000,14000000,1841,1,2,381071,238,27,43,14586
The Maze Runner,2014,6.8,1,102000000,34000000,173,1,2,3156436,18124,213,2753,4734000
The Monuments Men,2014,6.1,3,78000000,70000000,3083,1,0,10649,21,1,0,3849
The November Man,2014,6.3,1,25000000,15000000,2776,1,0,1935432,3089,155,567,148000
The Nut Job,2014,5.8,12,64200000,42000000,3427,1,0,2269032,3046,546,554,
The One I Love,2014,7.1,8,512000,100000,20,1,2,1223891,1309,148,239,226000
The Other Woman,2014,6,8,83900000,40000000,3205,1,-1,8479994,35071,2233,3479,2731000
The Purge: Anarchy,2014,6.5,1,71500000,9000000,2805,2,-3,1142295,3895,193,882,49424
The Pyramid,2014,4.7,15,2750000,6500000,685,1,0,4092871,8781,794,2046,420000
The Rover,2014,6.4,10,1110000,12250000,5,1,0,702,1,0,1,9842
The Salvation,2014,6.8,3,5000,11712310.56,2,1,0,253631,170,11,58,
The Theory of Everything,2014,7.8,9,35900000,15000000,15,1,8,3226251,18240,261,2104,8204
The Water Diviner,2014,7.2,3,4190000,22500000,320,1,7,3281842,4968,445,2099,1899400
The Woman in Black 2: Angel of Death,2014,4.9,3,26500000,1000000,2602,2,-6,698,16,1,9,3086
Think Like a Man Too,2014,5.7,8,65200000,24000000,2225,2,0,2063089,5858,336,346,24388000
Transcendence,2014,6.3,3,23000000,100000000,3455,1,0,14141585,36646,1459,6811,5987
Transformers: Age of Extinction,2014,5.8,1,245000000,210000000,4233,4,0,170909,791,362,230,2814900
Tusk,2014,5.4,8,1820000,2800000,449,1,0,473100,670,104,380,180100
Unbroken,2014,7.2,9,116000000,65000000,3131,1,0,6637551,19833,815,3403,269000
Veronica Mars,2014,6.8,10,3320000,6000000,291,1,10,476747,2079,166,232,2536000
When the Game Stands Tall,2014,6.6,3,30100000,15000000,794,1,0,280566,477,56,82,585000
Whiplash,2014,8.6,3,13100000,3300000,42,1,2,7750223,17541,631,2760,858000
White God,2014,6.9,3,280000,2487820.27,2,1,11,166612,571,36,70,
Wild,2014,7.2,2,37900000,15000000,1061,1,0,5976092,9343,649,1333,781200
Wild Tales,2014,8.2,8,3080000,3300000,4,1,7,697105,1023,39,429,
Winter's Tale,2014,6.2,3,22500,60000000,2965,1,0,719976,1312,76,189,1810000
Wish I Was Here,2014,6.7,8,3590000,6000000,68,1,0,865690,1375,79,67,1818778
X-Men: Days of Future Past,2014,8.1,1,234000000,200000000,3996,7,3,2285,9,0,1,10280000
Yves Saint Laurent,2014,6.2,9,717000,12000000,2,1,0,550734,894,44,77,168700
Jurassic World,2015,7.3,1,643000000,150000000,4274,4,1,9143740,34746,1074,5107,6180000
Avengers: Age of Ultron,2015,7.8,1,458000000,250000000,4276,2,21,10366624,31552,989,3843,10070000
Furious 7,2015,7.4,1,350000000,190000000,4004,7,-17,59056,330,8,39,11890000
Inside Out,2015,8.6,12,345000000,175000000,3946,1,2,1438926,4632,262,496,232000
Minions,2015,6.6,1,325000000,74000000,4301,2,-2,1341909,1607,764,48,250000
Pitch Perfect 2,2015,6.7,8,183000000,29000000,3473,2,1,9214467,39824,998,1987,7336000
Mission: Impossible - Rogue Nation,2015,7.8,3,171000000,150000000,3956,5,3,8748596,20352,649,1842,6605000
Home,2015,6.7,8,177000000,135000000,3708,1,-2,10341783,24413,1675,3426,5070000
Fifty Shades of Grey,2015,4.2,3,166000000,40000000,3646,1,9,31859569,49900,13960,9119,946000
The SpongeBob Movie: Sponge Out of Water,2015,6.1,8,162000000,74000000,3641,2,0,5536822,29411,1840,1281,184000
San Andreas,2015,6.4,1,154000000,110000000,3777,1,3,12632836,36508,2210,7559,9737600
Mad Max: Fury Road,2015,8.3,1,153000000,150000000,3702,4,-4,2732371,13030,497,1774,768700
Straight Outta Compton,2015,8.3,9,135000000,28000000,2757,1,5,848970,12607,237,1560,55618
Insurgent,2015,6.4,2,130000000,110000000,3875,2,-6,2834800,5664,5746,66,4240000
Spy,2015,7.3,1,110000000,65000000,3711,1,0,6649290,20750,750,1666,265000
Trainwreck,2015,6.7,12,105000000,35000000,3158,1,1,9511288,19903,2581,2955,2014000
Tomorrowland,2015,6.6,12,93200000,190000000,3972,1,1,999867,4212,66,250,1198000
Get Hard,2015,6.1,8,90400000,40000000,3175,1,6,10078326,26565,1418,2395,2939000
Terminator Genisys,2015,6.8,1,89400000,155000000,3758,5,1,84870,265,13,63,3877901
Ted 2,2015,6.6,8,81300000,68000000,3442,2,5,6711914,29903,984,1767,10988000
Paul Blart: Mall Cop 2,2015,4.3,1,71000000,30000000,90,2,15,2389347,8809,935,892,1618000
Pixels,2015,5.6,1,71000000,88000000,3723,1,10,5340100,26134,2007,3717,2466000
Magic Mike XXL,2015,6.2,8,65900000,14800000,3355,2,7,5128288,18475,858,1579,8392000
The Wedding Ringer,2015,6.7,8,64500000,23000000,3003,1,-8,4826940,10521,478,755,2284000
Vacation,2015,6.3,2,54900000,31000000,3411,5,13,2554327,10062,464,871,2347000
Fantastic Four,2015,4,1,52700000,120000000,3995,1,20,7560211,24168,3524,7139,881000
Poltergeist,2015,5,15,47400000,35000000,3240,1,-5,3651828,13998,969,2205,1066
Jupiter Ascending,2015,5.5,1,47400000,176000000,3181,1,0,3920842,10535,565,1668,7460000
The Age of Adaline,2015,7.3,3,42500000,25000000,2991,1,11,11036701,50002,1005,3525,776000
Max,2015,7,1,41900000,20000000,2855,1,0,2947239,19201,625,1842,2113
The Longest Ride,2015,7.2,3,37400000,34000000,3366,1,19,2393017,13291,369,584,324925
The Gift,2015,7.6,1,36100000,5000000,1648,1,11,2513544,6970,270,1105,1655987
The Boy Next Door,2015,4.6,6,35400000,4000000,2602,1,16,5588384,15144,913,1499,4599000
Hot Pursuit,2015,5,1,34500000,35000000,3003,1,2,6964819,26601,1111,1293,1630000
The DUFF,2015,6.6,8,34000000,8500000,2575,1,2,12792898,56001,2083,4102,6714000
Woman in Gold,2015,7.4,10,33300000,11000000,258,1,19,6495,82,3,7,675000
Entourage,2015,7.1,3,32400000,30000000,3108,1,6,1841293,5879,314,634,788000
Paper Towns,2015,6.9,3,31400000,12000000,3031,1,6,2854910,23254,459,1087,4184000
The Lazarus Effect,2015,5.2,8,25800000,3300000,2666,1,7,4442147,10605,691,2739,2007000
Sinister 2,2015,5.5,1,19000000,10000000,2766,2,-38,11037833,36874,1885,4360,5699
Ricki and the Flash,2015,6.1,3,23500000,18000000,1603,1,25,638374,4018,130,269,1887
Project Almanac,2015,6.4,8,22300000,12000000,2893,1,7,6646785,16041,955,2787,253499
Hitman: Agent 47,2015,5.9,8,16100000,35000000,3261,1,10,13154873,46684,3565,8578,209000
Dope,2015,7.5,8,16800000,700000,2002,1,2,50444,238,3,28,986572
Hot Tub Time Machine 2,2015,5.1,8,12300000,14000000,2880,2,9,11496,194,9,31,1891977
American Ultra,2015,6.5,1,10900000,28000000,2778,1,21,2996539,1874,32,189,155000
The Gunman,2015,5.8,8,10600000,40000000,2816,1,3,3098749,4311,341,881,1520000
Mortdecai,2015,5.5,8,7610000,60000000,2648,1,-2,3850758,13363,453,1276,3045000
Blackhat,2015,5.4,3,7100000,70000000,2567,1,4,2409338,6923,340,714,1334000
Me and Earl and the Dying Girl,2015,8.2,8,6740000,8000000,34,1,15,4032265,18398,302,1298,2208
The Vatican Tapes,2015,4.5,15,1710000,8495000,420,1,-2,1364537,3824,689,772,3841
Maggie,2015,5.6,3,131000,4500000,79,1,10,5085068,14359,600,2468,3744000
Americons,2015,7.3,3,129000,4000000,14,1,0,63724,115,28,14,129000
Road Hard,2015,6.3,3,106000,1500000,22,1,14,44963,109,27,42,1188000
Ant-Man,2015,7.8,1,169000000,130000000,3856,1,18,9597644,32558,2672,8359,
Southpaw,2015,7.7,1,49500000,30000000,2772,1,6,11476882,40496,1383,4435,
Ex Machina,2015,7.7,3,25400000,15000000,1255,1,3,419470,2218,46,239,
The Man from U.N.C.L.E.,2015,7.6,6,34600000,75000000,3638,1,8,5216680,20010,500,2300,
Cinderella,2015,7.1,8,201000000,95000000,3845,1,2,10164908,22726,4245,5262,
Chappie,2015,7,1,31600000,49000000,3201,1,8,7384182,23597,786,3481,
Brotherly Love,2015,6.9,8,444000,1900000,200,1,0,890619,6352,293,700,
Run All Night,2015,6.6,8,26400000,50000000,3171,1,3,5671767,10073,480,1712,
The Second Best Exotic Marigold Hotel,2015,6.6,1,33100000,10000000,1573,2,26,831044,2427,99,247,
Child 44,2015,6.4,4,1210000,50000000,66,1,4,3701061,9325,641,1859,
Aloha,2015,5.5,15,21000000,37000000,2815,1,13,7119456,18803,1128,2290,
Unfinished Business,2015,5.4,8,10200000,35000000,2777,1,7,3450614,6823,325,409,
War Room,2015,5.4,1,12300000,3000000,,1,10,66872,400,67,201,
The Gallows,2015,4.4,15,22600000,100000,2720,1,-5,659772,2841,431,606,
,,,,,,,,,,,,,